Year,HomeTeam,AwayTeam,Diff
06,12,14,-2
06,20,5,-2
06,21,2,2
06,19,9,2
06,22,16,-1
06,13,6,-1
06,2,7,1
06,5,22,1
06,15,20,1
06,17,0,1
06,9,21,0
06,14,8,2
06,3,12,1
06,4,18,-1
06,16,19,1
06,13,8,-3
06,12,0,0
06,20,6,-1
06,19,7,3
06,2,14,0
06,4,9,2
06,16,3,4
06,0,2,1
06,7,18,1
06,6,12,1
06,14,16,-2
06,3,13,-1
06,21,4,-1
06,22,20,1
06,8,5,-3
06,9,17,-2
06,13,5,-1
06,16,20,2
06,18,12,-1
06,17,6,0
06,8,19,1
06,9,7,0
06,14,15,0
06,3,22,-1
06,4,2,0
06,21,0,4
06,0,14,0
06,5,16,-2
06,7,21,-1
06,12,13,0
06,20,3,0
06,2,9,-3
06,15,17,0
06,6,4,-1
06,22,8,0
06,19,18,2
06,13,15,0
06,4,12,1
06,16,0,1
06,18,22,-1
06,17,2,-1
06,9,6,1
06,3,5,-1
06,21,19,0
06,8,20,-2
06,14,7,1
06,2,3,2
06,5,14,-1
06,7,17,-1
06,12,9,0
06,20,21,0
06,19,13,1
06,0,8,-1
06,15,16,-3
06,6,18,2
06,22,4,1
06,16,4,4
06,15,2,1
06,8,12,0
06,20,17,-2
06,14,18,2
06,3,19,1
06,22,9,1
06,13,0,-1
06,6,21,1
06,5,7,0
06,19,6,1
06,0,22,-2
06,2,13,2
06,7,15,2
06,17,14,0
06,12,5,-1
06,4,3,2
06,18,16,0
06,9,20,1
06,21,8,1
06,13,18,-1
06,5,4,-1
06,16,2,2
06,15,21,2
06,8,17,3
06,20,12,-3
06,14,19,0
06,22,7,1
06,3,9,-3
06,6,0,2
06,19,20,2
06,0,15,-2
06,2,5,3
06,7,6,1
06,9,13,1
06,12,22,-2
06,21,3,1
06,18,8,1
06,17,16,1
06,4,14,1
06,5,17,-2
06,16,9,3
06,15,12,3
06,6,2,0
06,20,0,-2
06,3,18,4
06,22,19,-1
06,8,7,1
06,14,21,0
06,19,2,3
06,0,5,1
06,6,15,-1
06,12,16,-2
06,20,13,-1
06,22,14,-1
06,18,9,1
06,7,4,1
06,8,3,0
06,21,17,-1
06,20,15,-2
06,2,18,-2
06,4,19,2
06,16,8,1
06,15,22,3
06,17,12,3
06,9,0,0
06,14,20,1
06,3,7,0
06,5,6,-3
06,13,21,-1
06,13,7,1
06,2,21,1
06,4,0,0
06,5,20,2
06,16,22,1
06,15,8,2
06,9,19,1
06,3,6,2
06,17,18,0
06,14,12,2
06,18,21,-1
06,17,22,4
06,0,17,-2
06,18,4,-4
06,7,2,1
06,6,13,3
06,12,3,1
06,21,9,-2
06,22,5,3
06,19,16,-2
06,8,14,0
06,0,18,4
06,5,19,-1
06,16,7,1
06,15,9,2
06,17,3,3
06,8,2,-2
06,12,21,0
06,20,4,0
06,14,13,2
06,22,6,1
06,19,12,4
06,13,17,0
06,18,15,-2
06,7,0,0
06,6,16,-1
06,3,14,2
06,21,22,-2
06,0,19,0
06,5,21,2
06,16,13,2
06,15,3,1
06,17,4,3
06,8,6,0
06,12,7,1
06,20,18,-1
06,14,9,2
06,22,2,-3
06,13,22,2
06,2,12,1
06,4,15,0
06,18,5,2
06,7,20,1
06,9,8,0
06,3,0,-1
06,21,16,-2
06,19,17,0
06,6,14,-2
06,19,8,7
06,0,21,-1
06,2,4,0
06,5,13,2
06,7,9,1
06,15,14,1
06,6,17,2
06,12,18,-1
06,20,16,-1
06,22,3,-1
06,13,12,5
06,4,6,2
06,18,19,1
06,8,22,-1
06,9,2,-1
06,14,0,0
06,3,20,-1
06,16,5,0
06,17,15,1
06,21,7,1
06,5,3,0
06,7,14,1
06,20,8,-3
06,22,18,0
06,19,21,-1
06,0,16,0
06,2,17,1
06,15,13,0
06,6,9,3
06,12,4,0
06,13,19,-2
06,4,22,0
06,18,6,1
06,17,7,2
06,8,0,-4
06,9,12,2
06,3,2,2
06,21,20,2
06,16,15,2
06,14,5,2
06,5,15,2
06,19,4,0
06,0,9,-1
06,18,2,1
06,7,3,5
06,8,16,3
06,12,17,-2
06,22,15,-1
06,6,5,1
06,20,14,0
06,21,13,3
06,15,19,1
06,2,20,2
06,14,22,0
06,9,5,0
06,13,20,1
06,2,19,1
06,5,0,0
06,16,12,2
06,9,18,2
06,4,7,1
06,15,6,1
06,3,8,-2
06,0,12,1
06,7,19,-4
06,15,5,0
06,8,13,1
06,9,4,2
06,3,16,-1
06,21,18,0
06,6,20,1
06,14,2,1
06,22,17,-1
06,13,3,0
06,2,0,2
06,4,21,3
06,16,14,1
06,18,7,2
06,12,6,1
06,20,22,-1
06,19,15,1
06,5,8,1
06,17,9,2
